EmployeeID,Age,Attrition,BusinessTravel,Department,JobRole,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
1001,41,No,Travel_Rarely,Research & Development,Manager,1,3,Other,1,Female,1,2,Divorced,3592,0,No,13,3,1,5,5,3,4,1,1
1002,30,No,Travel_Rarely,Research & Development,Manufacturing Director,5,3,Human Resources,3,Male,5,3,Married,9851,4,No,18,3,0,12,2,1,2,2,2
1003,43,No,Travel_Rarely,Research & Development,Healthcare Representative,1,2,Marketing,2,Female,2,2,Divorced,7208,2,No,17,3,1,3,3,3,0,0,0
1004,38,No,Travel_Rarely,Research & Development,Healthcare Representative,3,3,Technical Degree,3,Male,2,4,Single,7550,4,No,12,3,0,4,3,4,2,0,2
1005,35,Yes,Travel_Frequently,Sales,Sales Executive,14,3,Life Sciences,4,Male,4,4,Single,10531,2,No,21,3,0,0,4,2,0,0,0
1006,35,No,Travel_Rarely,Sales,Sales Executive,2,3,Human Resources,4,Female,5,3,Single,12704,4,Yes,14,3,0,4,3,2,2,0,0
1007,54,No,Travel_Rarely,Research & Development,Healthcare Representative,2,3,Life Sciences,2,Female,5,4,Married,13645,4,No,15,3,0,15,2,2,9,0,0
1008,41,No,Travel_Rarely,Sales,Manager,19,3,Technical Degree,1,Female,4,3,Married,11827,3,No,12,3,0,7,1,2,6,5,2
1009,45,No,Travel_Frequently,Research & Development,Manager,9,2,Technical Degree,2,Female,2,4,Married,6846,6,No,11,3,1,4,0,3,2,0,2
1010,32,No,Travel_Rarely,Research & Development,Laboratory Technician,1,3,Medical,4,Male,3,4,Divorced,6620,7,No,11,3,0,4,4,3,4,4,4
1011,32,Yes,Non-Travel,Research & Development,Laboratory Technician,13,1,Other,1,Female,2,3,Married,8860,5,Yes,11,3,0,0,3,1,0,0,0
1012,33,No,Travel_Rarely,Research & Development,Research Scientist,7,4,Other,2,Male,3,3,Married,9898,2,No,17,3,0,15,1,3,15,2,2
1013,35,No,Non-Travel,Research & Development,Manager,7,3,Marketing,3,Male,5,3,Single,13609,2,No,11,3,0,4,5,3,4,4,2
1014,48,No,Travel_Rarely,Research & Development,Laboratory Technician,11,3,Life Sciences,1,Male,3,2,Single,9062,5,No,15,3,2,4,4,3,4,4,4
1015,37,No,Travel_Rarely,Sales,Manager,1,3,Technical Degree,3,Female,5,3,Married,13981,3,Yes,14,3,1,3,1,2,3,1,1
1016,47,No,Travel_Rarely,Research & Development,Laboratory Technician,29,4,Medical,4,Female,5,2,Married,12304,3,No,19,3,0,4,4,4,0,0,0
1017,23,No,Travel_Frequently,Sales,Sales Executive,29,4,Life Sciences,1,Male,2,4,Married,5380,5,Yes,11,4,1,5,1,4,5,0,0
1018,34,Yes,Travel_Rarely,Research & Development,Laboratory Technician,4,4,Life Sciences,1,Female,2,3,Divorced,4173,4,Yes,17,3,1,2,1,2,1,0,1
1019,39,Yes,Travel_Rarely,Research & Development,Manufacturing Director,2,4,Life Sciences,4,Male,5,4,Divorced,14001,4,Yes,14,3,1,4,4,4,3,1,3
1020,33,No,Travel_Rarely,Sales,Sales Executive,18,2,Technical Degree,1,Female,2,1,Divorced,5163,3,No,17,3,0,8,0,3,4,1,1
1021,34,No,Travel_Rarely,Research & Development,Research Scientist,3,3,Medical,1,Female,1,2,Divorced,1703,2,No,11,3,1,16,1,2,16,1,2
1022,25,No,Travel_Rarely,Research & Development,Healthcare Representative,6,3,Human Resources,4,Male,1,1,Married,4497,1,No,14,3,1,1,3,3,1,0,1
1023,28,Yes,Travel_Rarely,Research & Development,Manufacturing Director,2,3,Life Sciences,1,Male,1,2,Married,4843,5,Yes,15,3,1,2,1,3,2,1,2
1024,44,No,Travel_Rarely,Research & Development,Research Scientist,1,2,Medical,2,Male,1,1,Married,1009,5,Yes,17,4,2,2,1,2,1,0,1
1025,53,No,Travel_Rarely,Research & Development,Research Scientist,6,3,Human Resources,3,Female,2,2,Single,7378,2,No,16,3,0,15,3,3,7,0,0
1026,31,No,Travel_Rarely,Sales,Sales Representative,15,3,Medical,4,Female,1,4,Married,6036,5,No,15,3,1,0,3,2,0,0,0
1027,40,No,Travel_Rarely,Research & Development,Laboratory Technician,20,3,Other,2,Male,3,1,Divorced,8352,4,No,19,3,0,7,3,2,4,1,2
1028,54,No,Travel_Rarely,Research & Development,Laboratory Technician,4,3,Life Sciences,4,Female,1,3,Married,6262,2,No,11,3,1,9,1,2,2,0,1
1029,33,No,Travel_Rarely,Sales,Sales Executive,3,4,Marketing,2,Male,1,3,Divorced,3927,1,Yes,11,3,2,9,3,3,9,0,2
1030,35,Yes,Travel_Frequently,Research & Development,Research Scientist,9,2,Human Resources,1,Male,1,3,Married,3261,1,Yes,14,4,0,4,2,4,2,1,0
1031,18,Yes,Travel_Rarely,Research & Development,Laboratory Technician,1,3,Life Sciences,4,Male,1,4,Single,6664,0,Yes,23,3,1,0,2,3,0,0,0
